page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
29,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu51730,Sint-Truiden,3800,appartment,flat,396722.0,2.0,117.0,N/A,N/A,1.0,10.0,N/A,N/A,N/A,2,N/A,New,2026
30,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu51735,Sint-Truiden,3800,appartment,flat,418266.0,2.0,110.0,N/A,N/A,1.0,12.0,1.0,37.0,N/A,2,N/A,New,2026
31,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu51733,Sint-Truiden,3800,appartment,flat,501987.0,2.0,131.0,N/A,N/A,1.0,12.0,1.0,99.0,N/A,2,N/A,New,2026
32,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24757,Sint-Truiden,3800,house,house,412336.0,4.0,0.0,N/A,N/A,0.0,N/A,1.0,N/A,156.0,N/A,N/A,New,2025
33,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24756,Sint-Truiden,3800,house,house,412336.0,4.0,0.0,N/A,N/A,0.0,N/A,1.0,N/A,156.0,N/A,N/A,New,2025
34,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu24758,Sint-Truiden,3800,house,house,412826.0,4.0,0.0,N/A,N/A,1.0,10.0,1.0,N/A,157.0,N/A,N/A,New,2025
35,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58294,Sint-Truiden,3800,appartment,flat,239000.0,1.0,74.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
36,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58293,Sint-Truiden,3800,appartment,flat,249000.0,1.0,68.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
37,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58299,Sint-Truiden,3800,appartment,flat,299000.0,2.0,87.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
38,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58300,Sint-Truiden,3800,appartment,flat,319000.0,2.0,90.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
39,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58302,Sint-Truiden,3800,appartment,flat,325000.0,2.0,92.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,N/A,N/A,New,N/A
40,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58298,Sint-Truiden,3800,appartment,flat,339000.0,3.0,109.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
41,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58301,Sint-Truiden,3800,appartment,flat,399000.0,3.0,117.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
42,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu58295,Sint-Truiden,3800,appartment,flat,399000.0,3.0,120.0,N/A,N/A,N/A,N/A,1.0,N/A,N/A,2,N/A,New,N/A
43,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu47135,Sint-Truiden,3800,appartment,flat,306000.0,2.0,87.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,New,2023
44,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu98882,Sint-Truiden,3800,appartment,flat,397000.0,3.0,111.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,New,N/A
45,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu98883,Sint-Truiden,3800,appartment,flat,500000.0,3.0,136.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,New,2023
46,https://immovlan.be/en/detail/commercial-building/for-sale/9300/aalst/rbv08480,Aalst,9300,entreprise,commerceBuilding,225000.0,N/A,162.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,New,2023
47,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbv08479,Aalst,9300,appartment,duplex,345000.0,2.0,115.0,Super equipped,N/A,1.0,12.0,N/A,N/A,N/A,N/A,0.0,New,2023
48,https://immovlan.be/en/detail/loft/for-sale/9300/aalst/rbv08445,Aalst,9300,appartment,loft,349000.0,2.0,119.0,Super equipped,0.0,1.0,10.0,N/A,N/A,N/A,N/A,0.0,New,2025
49,https://immovlan.be/en/detail/loft/for-sale/9300/aalst/rbv08446,Aalst,9300,appartment,loft,362000.0,2.0,112.0,Super equipped,0.0,1.0,9.0,N/A,N/A,N/A,3,0.0,New,2025
50,https://immovlan.be/en/detail/loft/for-sale/9300/aalst/rbv08447,Aalst,9300,appartment,loft,398000.0,3.0,128.0,Super equipped,0.0,1.0,9.0,N/A,N/A,N/A,N/A,0.0,New,2025
51,https://immovlan.be/en/detail/loft/for-sale/9300/aalst/rbv08448,Aalst,9300,appartment,loft,599000.0,3.0,180.0,Super equipped,0.0,1.0,11.0,N/A,N/A,N/A,N/A,0.0,New,2025
52,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02632,Aalst,9300,appartment,flat,396100.0,2.0,97.0,Super equipped,0.0,1.0,42.0,N/A,N/A,N/A,2,0.0,New,2024
53,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02630,Aalst,9300,appartment,flat,336700.0,2.0,91.0,Super equipped,0.0,1.0,14.0,N/A,N/A,N/A,2,0.0,New,2024
54,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02631,Aalst,9300,appartment,flat,371000.0,2.0,106.0,Super equipped,0.0,1.0,8.0,N/A,N/A,N/A,2,0.0,New,2024
55,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02633,Aalst,9300,appartment,flat,397950.0,2.0,105.0,Super equipped,0.0,1.0,31.0,N/A,N/A,N/A,2,0.0,New,2024
56,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv02627,Aalst,9300,appartment,flat,420200.0,2.0,110.0,Super equipped,0.0,1.0,25.0,N/A,N/A,N/A,2,0.0,New,2024
57,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbu90271,Aalst,9300,appartment,duplex,442774.0,2.0,117.0,Super equipped,0.0,1.0,18.0,N/A,N/A,N/A,2,0.0,New,N/A
58,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbu90269,Aalst,9300,appartment,duplex,450008.0,3.0,131.0,Super equipped,0.0,1.0,13.0,1.0,N/A,N/A,2,0.0,New,N/A
59,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbu90268,Aalst,9300,appartment,duplex,450025.0,3.0,132.0,Super equipped,0.0,1.0,14.0,1.0,N/A,N/A,2,0.0,New,N/A
60,https://immovlan.be/en/detail/duplex/for-sale/9300/aalst/rbu90270,Aalst,9300,appartment,duplex,450044.0,3.0,132.0,Super equipped,0.0,1.0,15.0,N/A,N/A,N/A,2,0.0,New,N/A
61,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu32996,Aalst,9300,house,house,416160.0,3.0,131.0,N/A,N/A,1.0,13.0,1.0,14.0,131.0,2,N/A,New,N/A
62,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu32997,Aalst,9300,house,house,418240.0,3.0,132.0,N/A,N/A,1.0,14.0,1.0,14.0,132.0,2,N/A,New,N/A
63,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbu32995,Aalst,9300,house,house,418310.0,3.0,132.0,N/A,N/A,1.0,15.0,1.0,14.0,132.0,2,N/A,New,N/A
64,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv30405,Aalst,9300,appartment,flat,314000.0,2.0,99.0,N/A,N/A,1.0,N/A,1.0,N/A,N/A,2,N/A,New,N/A
65,https://immovlan.be/en/detail/apartment/for-sale/9300/aalst/rbv17303,Aalst,9300,appartment,flat,345000.0,2.0,112.0,N/A,0.0,1.0,21.0,N/A,N/A,N/A,N/A,N/A,New,N/A
66,https://immovlan.be/en/detail/residence/for-sale/9300/aalst/rbv35745,Aalst,9300,house,house,329000.0,3.0,218.0,N/A,0.0,1.0,30.0,1.0,120.0,N/A,N/A,N/A,Excellent,N/A
