page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
103,https://immovlan.be/en/detail/residence/for-sale/9420/mere/rbv02117,Mere,9420,house,house,199000,4,248,,False,False,,,,350 m²,3,,To be renovated,1965
104,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbv01223,Erpe-Mere,9420,house,house,412000,3,152,,,False,,True,,555 m²,3,,New,
105,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbv01222,Erpe-Mere,9420,house,house,416000,3,152,,,False,,True,,527 m²,3,,New,
106,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbv01219,Erpe-Mere,9420,house,house,0,,0,,,False,,,,,,,New,
107,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu99678,Erpe-Mere,9420,house,house,419000,5,235,,False,True,143 m²,True,3058 m²,,,,Normal,
108,https://immovlan.be/en/detail/residence/for-sale/9420/mere/rbu98152,Mere,9420,house,house,349000,3,144,,False,False,,True,,2107 m²,4,,To be renovated,1960
109,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu89717,Erpe-Mere,9420,house,house,395000,3,226,,False,False,,,,,,,To be renovated,
110,https://immovlan.be/en/detail/residence/for-sale/9420/erpe/vbd64400,Erpe,9420,house,house,490625,3,167,,,,,,,487 m²,3,,New,
111,https://immovlan.be/en/detail/villa/for-sale/9420/erpe-mere/rbu86385,Erpe-Mere,9420,house,villa,1195000,4,300,,False,True,50 m²,True,650 m²,,,False,New,
112,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/vbd61571,Erpe-Mere,9420,house,house,459000,3,168,,,,,,,439 m²,3,,New,
113,https://immovlan.be/en/detail/residence/for-sale/9420/erpe/vbd61570,Erpe,9420,house,house,435000,3,168,,,,,,,458 m²,3,,New,
114,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu78217,Erpe-Mere,9420,house,house,595000,6,220,,False,False,,,,,,,Excellent,
115,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu66750,Erpe-Mere,9420,house,house,299000,4,200,Fully equipped,False,True,,True,,540 m²,3,,To renovate,1949
116,https://immovlan.be/en/detail/residence/for-sale/9420/erpe/vbd47874,Erpe,9420,house,house,434942,3,132,,,,,,,495 m²,3,,New,
117,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu62410,Erpe-Mere,9420,house,house,885000,4,400,Super equipped,False,True,,True,1167 m²,1167 m²,3,False,Excellent,2018
118,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbu17111,Erpe-Mere,9420,house,house,379000,3,152,,False,True,28 m²,True,150 m²,,,,Excellent,
119,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/vbd16226,Erpe-Mere,9420,house,house,789840,4,346,,,True,,True,2300 m²,2586 m²,4,,New,
120,https://immovlan.be/en/detail/duplex/for-sale/9420/erpe-mere/rbu11976,Erpe-Mere,9420,appartment,duplex,319000,3,170,,False,True,7 m²,,,,,,Excellent,
121,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbt99501,Erpe-Mere,9420,house,house,295000,3,200,,False,True,30 m²,True,360 m²,,,,Normal,
122,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbt82126,Erpe-Mere,9420,house,house,265000,3,195,,False,True,16 m²,True,20 m²,,,False,Excellent,
123,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbt68678,Erpe-Mere,9420,house,house,985000,3,400,Super equipped,False,True,,True,1167 m²,1167 m²,3,False,Excellent,2018
124,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbt37453,Erpe-Mere,9420,house,house,347850,4,195,Fully equipped,False,,,True,,,,False,Normal,
125,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbt14921,Erpe-Mere,9420,house,house,539000,3,172,Fully equipped,False,False,,True,240 m²,,,,New,
126,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rwc39039,Erpe-Mere,9420,house,house,365550,3,262,Super equipped,,,,,,262 m²,3,,Excellent,2025
127,https://immovlan.be/en/detail/residence/for-sale/9420/erpe-mere/rbv10615,Erpe-Mere,9420,house,house,249000,2,138,,False,True,17 m²,True,11 m²,,,,Excellent,
128,https://immovlan.be/en/detail/master-house/for-sale/8511/aalbeke/rbv07979,Aalbeke,8511,house,masterHouse,695000,3,400,Fully equipped,True,True,,True,800 m²,934 m²,3,False,Normal,1984
129,https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/vbd73075,Aalbeke,8511,house,house,575000,3,230,Super equipped,False,True,,True,200 m²,500 m²,4,False,Normal,2000
130,https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/vbd70372,Aalbeke,8511,house,house,289000,3,181,Partially equipped,False,True,,True,40 m²,752 m²,3,False,Normal,1960
131,https://immovlan.be/en/detail/master-house/for-sale/8511/aalbeke/rbu98133,Aalbeke,8511,house,masterHouse,695000,3,400,Fully equipped,True,True,,True,800 m²,934 m²,3,False,Normal,1984
132,https://immovlan.be/en/detail/residence/for-sale/8511/aalbeke/rbu93360,Aalbeke,8511,house,house,349500,3,146,,,False,,True,,483 m²,2,,Excellent,1991
133,https://immovlan.be/en/detail/villa/for-sale/8511/aalbeke/rbu60663,Aalbeke,8511,house,villa,935000,4,303,,False,True,,True,,1250 m²,4,False,,1972
135,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv35093,Sint-Truiden,3800,house,house,401600,2,134,,False,True,15 m²,True,,,3,,Normal,1956
136,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv35092,Sint-Truiden,3800,house,house,401600,2,134,,False,True,15 m²,True,,,2,,Normal,1956
137,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv35091,Sint-Truiden,3800,house,house,365000,3,110,,False,True,20 m²,True,77 m²,240 m²,2,,,2018
138,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv35090,Sint-Truiden,3800,house,house,497000,3,204,,False,True,15 m²,True,,,3,,Normal,1956
139,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv34957,Sint-Truiden,3800,house,house,209000,3,167,,,False,,,,888 m²,,,,1954
140,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbv34956,Sint-Truiden,3800,appartment,flat,296000,1,80,,,False,,,,,,,,2010
141,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv31168,Sint-Truiden,3800,house,house,435000,4,186,,,True,22 m²,True,,508 m²,,,New,2025
142,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv29585,Sint-Truiden,3800,house,house,329000,3,394,,,True,,,,168 m²,2,,Excellent,1968
143,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv28959,Sint-Truiden,3800,house,house,435000,4,186,,False,True,21 m²,True,,,3,,New,2025
144,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv28101,Sint-Truiden,3800,house,house,415000,3,155,,,True,,True,,294 m²,3,,New,2020
145,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv27351,Sint-Truiden,3800,house,house,285000,5,350,,False,False,,,,1614 m²,,,To be renovated,1936
146,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbv26639,Sint-Truiden,3800,house,house,349000,3,182,,,True,,True,,1122 m²,4,,,1964
147,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbu98893,Sint-Truiden,3800,appartment,flat,295000,2,84,,,True,,,,,2,,,1990
148,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbv26013,Sint-Truiden,3800,appartment,flat,219000,2,121,,,False,,,,,,,,1965
149,https://immovlan.be/en/detail/residence/for-sale/3800/sint-truiden/rbu51725,Sint-Truiden,3800,house,house,150000,3,112,,,False,,,,66 m²,2,,To be renovated,1930
152,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbv16264,Sint-Truiden,3800,appartment,flat,199000,2,0,,,True,,,,,,,,1990
