page_id,page_url,locality,zip_code,property_type,property_subtype,price,number_of_bedrooms,livable_surface_m2,kitchen_equipment,furnished,has_terrace,terrace_area_m2,has_garden,garden_area_m2,land_area_m2,number_of_facades,has_swimming_pool,building_condition,build_year
11,https://immovlan.be/en/detail/apartment/for-sale/2970/schilde/rbv06913,Schilde,2970.0,appartment,flat,1185000.0,3.0,364.0,N/A,0.0,1.0,48.0,N/A,N/A,N/A,N/A,N/A,N/A,2015.0
12,https://immovlan.be/en/detail/duplex/for-sale/2970/schilde/rbv06912,Schilde,2970.0,appartment,duplex,1185000.0,3.0,364.0,N/A,0.0,1.0,48.0,N/A,N/A,N/A,N/A,N/A,N/A,2015.0
17,https://immovlan.be/en/detail/apartment/for-sale/3700/berg/rbv35175,Berg,3700.0,appartment,flat,275000.0,2.0,0.0,N/A,N/A,1.0,9.0,N/A,N/A,N/A,N/A,N/A,Excellent,2021.0
46,https://immovlan.be/en/detail/loft/for-sale/3700/tongeren/rbv29586,Tongeren,3700.0,appartment,loft,375000.0,2.0,138.0,N/A,N/A,1.0,27.0,N/A,N/A,N/A,N/A,N/A,N/A,2018.0
47,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv26012,Tongeren,3700.0,appartment,flat,286500.0,3.0,130.0,N/A,N/A,1.0,4.0,N/A,N/A,N/A,2.0,N/A,N/A,1968.0
48,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv23156,Tongeren,3700.0,appartment,flat,199000.0,2.0,106.0,N/A,N/A,1.0,6.0,N/A,N/A,N/A,3.0,N/A,To be renovated,1930.0
49,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv23154,Tongeren,3700.0,appartment,flat,199000.0,2.0,114.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,3.0,N/A,To be renovated,1930.0
50,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv23153,Tongeren,3700.0,appartment,flat,199000.0,2.0,114.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,3.0,N/A,To be renovated,1930.0
54,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58324,Tongeren,3700.0,appartment,flat,215000.0,2.0,87.0,N/A,N/A,1.0,12.0,N/A,N/A,N/A,2.0,N/A,Excellent,2005.0
55,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv17268,Tongeren,3700.0,appartment,flat,257000.0,1.0,68.0,N/A,N/A,1.0,7.0,N/A,N/A,N/A,N/A,N/A,N/A,2021.0
58,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv04502,Tongeren,3700.0,appartment,flat,189000.0,2.0,60.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,2.0,N/A,N/A,1966.0
66,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu61321,Tongeren,3700.0,appartment,flat,529900.0,3.0,188.0,N/A,N/A,1.0,56.0,N/A,N/A,N/A,N/A,N/A,New,2023.0
67,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58284,Tongeren,3700.0,appartment,flat,310000.0,3.0,187.0,N/A,N/A,1.0,20.0,N/A,N/A,N/A,2.0,N/A,To be renovated,1970.0
68,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58281,Tongeren,3700.0,appartment,flat,299000.0,3.0,0.0,N/A,N/A,1.0,8.0,1.0,N/A,N/A,N/A,N/A,N/A,2023.0
69,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58280,Tongeren,3700.0,appartment,flat,189000.0,1.0,0.0,N/A,N/A,1.0,6.0,1.0,N/A,N/A,N/A,N/A,New,2023.0
70,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58279,Tongeren,3700.0,appartment,flat,179000.0,1.0,0.0,N/A,N/A,1.0,5.0,1.0,N/A,N/A,N/A,N/A,New,2023.0
71,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58278,Tongeren,3700.0,appartment,flat,325000.0,3.0,0.0,N/A,N/A,1.0,12.0,1.0,N/A,N/A,N/A,N/A,New,2023.0
72,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58277,Tongeren,3700.0,appartment,flat,189000.0,1.0,0.0,N/A,N/A,1.0,6.0,1.0,N/A,N/A,N/A,N/A,New,2023.0
73,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbu58274,Tongeren,3700.0,appartment,flat,180000.0,2.0,102.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,To be renovated,1972.0
79,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/rbv04499,Tongeren,3700.0,appartment,flat,205000.0,2.0,0.0,N/A,N/A,1.0,N/A,N/A,N/A,N/A,N/A,N/A,Excellent,1966.0
80,https://immovlan.be/en/detail/apartment/for-sale/3700/tongeren/vbd69042,Tongeren,3700.0,appartment,flat,169000.0,1.0,70.0,Partially equipped,0.0,1.0,10.0,N/A,N/A,N/A,2.0,0.0,N/A,1966.0
95,https://immovlan.be/en/detail/apartment/for-sale/9420/erpe/rbj34011,Erpe,9420.0,appartment,flat,179000.0,1.0,57.0,Fully equipped,0.0,1.0,N/A,1.0,N/A,N/A,N/A,N/A,Normal,N/A
119,https://immovlan.be/en/detail/duplex/for-sale/9420/erpe-mere/rbu11976,Erpe-Mere,9420.0,appartment,duplex,319000.0,3.0,170.0,N/A,0.0,1.0,7.0,N/A,N/A,N/A,N/A,N/A,Excellent,N/A
138,https://immovlan.be/en/detail/apartment/for-sale/3800/sint-truiden/rbv34956,Sint-Truiden,3800.0,appartment,flat,296000.0,1.0,80.0,N/A,N/A,0.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2010.0
