id,zip,url
2239,2040-antwerp,https://immovlan.be/en/detail/residence/for-sale/2040/berendrecht/rbv34511
2240,2040-antwerp,https://immovlan.be/en/detail/residence/for-sale/2040/berendrecht/rbv33655
