page_number,url
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv34357
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv34355
1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbv34354
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv34453
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbd89203
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv29851
1,https://immovlan.be/en/detail/penthouse/for-sale/1500/halle/rbv29590
1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbv29536
1,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbv28958
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv28957
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv28070
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbd86813
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv25805
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv04932
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu87474
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv23969
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu86087
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbd78713
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv23052
1,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbv04931
2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbt98431
2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu42185
2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbi90218
2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbi90217
2,https://immovlan.be/en/detail/apartment/for-sale/1500/halle/rbi90219
2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu85646
2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/vbc97713
2,https://immovlan.be/en/detail/residence/for-sale/1500/halle/rbu93908
